CRN,Rain,Temp,Hum,Sol,Cloud,VHI,Date,MmeanRain,MmeanTemp,MmeanHum,MmeanSol,MsumRain,YmeanRain,YmeanTemp,sin.week,cos.week,sin.month,cos.month,sin.year,cos.year
Malaysia,7.4973482713324,27.8574546274822,0.0176941083561375,245.589218336806,0.965484069403506,51.73,2017-09-11,7.52632450052738,27.742748465241,0.0178226654451609,258.245394855083,30.1052980021095,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,0.866025403784439,-0.5,-0.936881346295431,-0.349647455251228
Malaysia,8.95818332815415,28.6263452967581,0.017230561114976,243.472822479522,0.975794141311715,52.03,2017-09-18,7.52632450052738,27.742748465241,0.0178226654451609,258.245394855083,30.1052980021095,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,-0.4067366430758,-0.913545457642601,-0.972118196629061,-0.234491389570411
Malaysia,7.29002321185898,27.6770137216504,0.0179517073553606,267.470282177422,0.976809759820113,51.8,2017-09-25,7.52632450052738,27.742748465241,0.0178226654451609,258.245394855083,30.1052980021095,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,-0.951056516295154,0.309016994374947,-0.993256849267414,-0.115934599595501
Malaysia,4.62524551186352,27.5315352482934,0.0180983610980829,265.730838283505,0.883979227968912,50.89,2017-10-02,7.24442286819483,27.5621191940715,0.017690308183981,247.399938013783,36.2221143409741,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,0.20129852008866,0.979529941252494,-0.99999073973619,0.00430353829624382
Malaysia,8.53035173612978,27.4603332398953,0.0179203623670952,243.686654653558,0.990227510454742,49.96,2017-10-09,7.24442286819483,27.5621191940715,0.017690308183981,247.399938013783,36.2221143409741,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,0.998716507171053,-0.0506491688387126,-0.992222209417932,0.124479263886789
Malaysia,3.26993899549462,28.76456859169,0.0163853872046121,275.736138457643,0.916905732653987,48.84,2017-10-16,7.24442286819483,27.5621191940715,0.017690308183981,247.399938013783,36.2221143409741,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,0.101168321987433,-0.994869323391895,-0.970063921851507,0.242849722095936
Malaysia,9.52993497710705,27.8976638433885,0.017987925474272,252.549254686786,0.964429220573371,48.87,2017-10-23,7.24442286819483,27.5621191940715,0.017690308183981,247.399938013783,36.2221143409741,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,-0.968077118866204,-0.250652532258721,-0.933837228822925,0.357698238833125
Malaysia,10.2666431203792,26.1564950470904,0.0180595047758426,199.296803987422,0.990214456350648,48.68,2017-10-30,7.24442286819483,27.5621191940715,0.017690308183981,247.399938013783,36.2221143409741,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,-0.394355855113319,0.918957811620231,-0.884067509943364,0.467359217158002
Malaysia,10.8462496129315,26.8728257206171,0.0183372998191219,204.9700888085,0.997462785522782,48.61,2017-11-06,9.85295780377163,26.395479450856,0.0182295981553912,208.284233378798,39.4118312150865,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,0.866025403784439,0.5,-0.821476553302415,0.570242292691787
Malaysia,5.77350769395201,26.9779642997135,0.0180437925575498,246.006548339259,0.866452827667094,47.88,2017-11-13,9.85295780377163,26.395479450856,0.0182295981553912,208.284233378798,39.4118312150865,6.28040590717366,27.1898500473847,0.78183148246803,0.623489801858734,0.587785252292473,-0.809016994374947,-0.746972087696555,0.664855397964287
